idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,label
82,41,91,119,52,33,0,56,ka
80,41,90,119,52,33,0,56,ka
80,41,91,119,54,32,0,56,ka
80,41,91,119,52,32,0,54,ka
80,41,91,119,52,32,0,54,ka
82,41,91,119,52,32,0,54,ka
82,41,91,119,50,30,0,52,ka
82,41,91,118,48,32,0,47,ka
82,41,92,117,47,32,0,47,ka
85,41,91,117,47,32,0,42,ka
85,40,92,118,48,30,0,41,ka
87,41,92,118,47,29,0,41,ka
87,41,92,118,45,29,0,41,ka
89,40,93,118,47,29,0,41,ka
89,41,93,118,47,30,0,46,ka
89,41,93,117,47,30,0,46,ka
87,41,92,118,45,30,0,46,ka
89,41,92,118,45,30,0,46,ka
89,41,92,119,47,30,0,42,ka
87,41,92,119,45,30,0,47,ka
87,41,91,119,45,32,0,47,ka
85,41,91,118,47,32,0,49,ka
91,41,90,119,47,32,0,49,ka
91,41,90,118,47,32,0,47,ka
91,40,90,118,47,32,0,44,ka
91,40,90,118,50,32,0,42,ka
91,40,91,118,54,32,0,42,ka
85,41,91,118,54,30,0,44,ka
85,40,92,118,54,32,0,46,ka
87,41,92,118,54,32,0,46,ka
85,40,92,118,54,32,0,46,ka
85,40,92,118,54,32,0,44,ka
78,40,92,118,54,32,0,46,ka
78,40,92,118,54,32,0,47,ka
78,40,92,118,54,28,0,47,ka
80,40,91,118,50,28,0,46,ka
78,40,91,118,52,28,0,46,ka
78,40,92,118,52,28,0,46,ka
78,40,91,118,52,30,0,42,ka
71,41,91,118,52,34,0,46,ka
73,41,92,118,52,34,0,46,ka
78,41,92,118,52,34,0,47,ka
78,41,92,118,52,34,0,47,ka
78,41,92,117,50,34,0,47,ka
87,41,92,118,50,38,0,47,ka
87,41,91,118,50,38,0,51,ka
89,41,92,117,50,38,0,52,ka
98,41,92,117,52,38,0,52,ka
96,41,92,117,52,37,0,54,ka
100,41,91,117,50,33,0,54,ka
98,40,91,117,50,32,0,54,ka
96,40,91,117,54,32,0,54,ka
96,40,91,117,54,33,0,54,ka
94,40,91,118,54,32,0,54,ka
85,41,90,118,54,32,0,52,ka
89,41,91,118,54,32,0,51,ka
87,40,91,118,52,32,0,52,ka
85,40,90,118,52,32,0,52,ka
85,40,91,118,52,32,0,54,ka
85,40,92,118,54,33,0,52,ka
87,40,91,118,55,33,0,52,ka
87,40,91,118,50,33,0,52,ka
85,41,91,118,48,33,0,52,ka
87,40,91,118,50,33,0,52,ka
89,40,91,117,50,33,0,54,ka
85,40,91,117,50,36,0,57,ka
85,41,91,117,50,38,0,57,ka
85,41,91,117,54,38,0,56,ka
87,45,90,117,54,38,0,56,ka
87,45,90,117,54,37,0,54,ka
87,45,90,118,55,37,0,52,ka
87,47,90,118,55,37,0,52,ka
85,47,90,118,59,37,0,52,ka
85,47,90,118,60,37,0,52,ka
85,43,90,118,60,37,0,51,ka
85,43,90,118,59,33,0,46,ka
85,43,89,118,59,30,0,47,ka
85,43,89,118,55,30,0,47,ka
82,37,89,117,55,30,0,46,ka
82,37,89,117,54,30,0,44,ka
82,37,90,117,54,30,0,46,ka
82,36,89,117,55,30,0,47,ka
85,36,89,117,54,30,0,46,ka
85,37,90,117,54,30,0,46,ka
85,40,89,117,52,30,0,46,ka
85,40,90,117,54,32,0,46,ka
87,40,91,117,52,32,0,46,ka
87,40,91,117,52,32,0,46,ka
87,38,92,117,52,33,0,46,ka
89,38,92,117,54,32,0,49,ka
87,38,91,117,54,32,0,49,ka
87,40,92,117,54,32,0,47,ka
85,40,92,117,52,32,0,52,ka
87,40,92,117,52,32,0,52,ka
87,38,92,117,52,33,0,52,ka
87,40,92,117,52,33,0,54,ka
85,40,92,117,52,33,0,54,ka
85,40,92,117,52,33,0,52,ka
85,40,91,117,52,33,0,54,ka
82,40,91,117,50,33,0,61,ka
87,38,90,117,50,33,0,62,ka
87,40,90,117,48,33,0,61,ka
87,40,90,117,48,33,0,57,ka
87,38,90,117,50,33,0,57,ka
85,40,90,117,50,36,0,57,ka
85,38,90,117,50,36,0,57,ka
87,40,89,117,50,36,0,59,ka
87,38,90,117,52,34,0,59,ka
87,38,90,118,52,34,0,59,ka
89,38,90,117,54,34,0,51,ka
87,40,91,118,54,34,0,49,ka
85,40,91,118,55,34,0,51,ka
87,40,91,118,55,34,0,51,ka
85,41,91,117,54,34,0,51,ka
85,41,92,118,52,30,0,51,ka
85,43,92,118,52,30,0,51,ka
82,43,92,119,52,30,0,49,ka
82,43,91,119,48,30,0,47,ka
82,43,91,118,48,30,0,51,ka
80,43,91,118,48,30,0,51,ka
80,41,91,118,48,29,0,52,ka
82,41,91,118,48,30,0,51,ka
85,41,91,118,48,30,0,51,ka
87,40,90,118,48,30,0,52,ka
89,40,91,118,50,30,0,52,ka
89,40,91,118,50,30,0,52,ka
89,40,92,118,50,32,0,51,ka
87,40,92,118,50,30,0,49,ka
13,27,90,128,52,29,0,47,kha
11,27,90,127,54,29,0,47,kha
8,25,90,127,52,29,0,49,kha
6,25,90,128,52,29,0,49,kha
6,23,90,128,50,29,0,49,kha
4,22,90,127,52,28,0,47,kha
4,20,89,127,52,28,0,49,kha
0,19,89,126,52,29,0,49,kha
0,18,89,123,52,29,0,49,kha
0,16,89,123,52,29,0,47,kha
0,16,89,123,52,29,0,49,kha
0,16,89,123,52,29,0,49,kha
0,16,89,123,52,29,0,49,kha
0,16,89,123,52,29,0,49,kha
0,16,89,122,54,29,0,49,kha
0,18,89,122,54,30,0,51,kha
0,18,89,123,54,30,0,46,kha
0,19,89,123,54,30,0,44,kha
0,18,89,121,54,30,0,44,kha
0,18,89,121,54,30,0,42,kha
0,18,89,121,54,29,0,42,kha
0,18,89,121,54,29,0,42,kha
0,16,89,121,54,29,0,44,kha
0,16,89,121,54,29,0,41,kha
0,16,89,121,52,29,0,39,kha
0,16,89,121,52,30,0,41,kha
0,16,89,121,52,30,0,42,kha
0,15,89,121,52,30,0,44,kha
0,15,89,123,52,30,0,44,kha
0,16,89,122,52,32,0,47,kha
0,16,89,123,52,33,0,47,kha
0,16,90,123,54,33,0,46,kha
0,16,90,123,52,33,0,46,kha
0,16,90,123,52,33,0,47,kha
0,16,90,123,55,34,0,51,kha
0,16,90,123,55,33,0,51,kha
0,16,90,122,55,33,0,49,kha
0,16,90,122,54,33,0,49,kha
0,16,90,122,54,32,0,51,kha
0,16,90,122,55,30,0,51,kha
0,15,90,122,55,29,0,51,kha
0,15,90,122,52,29,0,42,kha
0,15,90,122,52,29,0,42,kha
0,13,90,122,50,29,0,41,kha
0,13,90,122,48,29,0,41,kha
0,13,91,122,48,29,0,41,kha
0,13,91,123,48,29,0,42,kha
0,13,91,122,50,29,0,42,kha
0,12,90,122,50,30,0,42,kha
0,12,91,122,48,30,0,42,kha
0,13,90,122,48,30,0,42,kha
0,13,90,122,48,30,0,51,kha
0,13,90,122,48,30,0,51,kha
0,13,90,122,52,30,0,51,kha
0,12,90,122,54,30,0,51,kha
0,13,90,121,52,30,0,49,kha
0,13,90,122,52,32,0,52,kha
0,13,90,121,52,30,0,52,kha
0,13,90,121,52,30,0,51,kha
0,13,90,122,52,30,0,49,kha
0,15,91,122,54,30,0,47,kha
0,15,91,122,54,29,0,49,kha
0,15,91,122,52,29,0,51,kha
0,16,91,122,52,29,0,51,kha
0,16,91,122,50,29,0,51,kha
0,16,91,122,50,29,0,51,kha
0,16,92,122,50,29,0,46,kha
0,15,92,122,50,29,0,47,kha
0,15,92,122,50,28,0,47,kha
0,15,91,122,50,29,0,49,kha
0,13,90,122,50,29,0,49,kha
0,13,90,123,50,30,0,49,kha
0,13,90,123,50,29,0,49,kha
0,12,90,123,52,29,0,44,kha
0,11,90,123,50,29,0,46,kha
0,11,89,123,52,29,0,46,kha
0,12,89,123,52,29,0,46,kha
0,12,89,123,52,30,0,44,kha
0,12,89,123,52,30,0,46,kha
0,12,89,122,52,30,0,46,kha
0,13,89,123,52,30,0,46,kha
0,13,89,122,52,30,0,46,kha
0,13,89,123,52,30,0,44,kha
0,15,88,122,52,30,0,49,kha
0,16,88,122,50,30,0,49,kha
0,16,89,122,50,30,0,47,kha
0,16,89,122,52,30,0,47,kha
0,18,89,122,52,29,0,49,kha
0,19,89,122,55,30,0,46,kha
0,19,89,122,55,30,0,44,kha
0,19,89,121,55,30,0,44,kha
0,18,89,122,57,30,0,46,kha
0,19,90,122,55,30,0,46,kha
0,18,90,122,54,30,0,47,kha
0,18,90,122,54,32,0,47,kha
0,18,91,121,65,32,0,49,kha
0,16,90,122,65,32,0,49,kha
0,16,90,122,65,32,0,49,kha
0,15,91,122,62,30,0,51,kha
0,15,91,122,60,30,0,51,kha
0,15,90,122,59,28,0,51,kha
0,13,91,122,57,29,0,49,kha
0,12,90,122,57,28,0,51,kha
0,13,90,122,60,28,0,47,kha
0,15,90,123,62,28,0,51,kha
0,16,90,123,52,28,0,51,kha
0,18,90,122,50,28,0,51,kha
0,20,90,122,48,28,0,49,kha
0,20,90,122,48,28,0,47,kha
0,22,90,122,50,28,0,49,kha
0,25,90,122,52,30,0,49,kha
0,26,89,122,52,30,0,49,kha
0,27,89,121,52,30,0,47,kha
0,26,89,121,52,30,0,47,kha
0,26,89,121,50,30,0,46,kha
0,25,89,121,50,30,0,46,kha
0,23,89,121,50,30,0,47,kha
0,23,89,121,50,30,0,47,kha
0,22,90,121,52,30,0,46,kha
0,20,90,121,52,30,0,47,kha
0,20,90,121,52,30,0,47,kha
0,19,89,121,52,30,0,49,kha
0,19,89,121,57,32,0,51,kha
0,19,89,121,55,32,0,51,kha
0,19,90,121,55,30,0,49,kha
0,18,90,121,55,30,0,51,kha
0,18,90,121,55,30,0,51,kha
0,18,90,121,55,29,0,49,kha
0,18,90,121,55,29,0,51,kha
0,16,90,121,55,29,0,51,kha
0,16,90,121,55,30,0,49,kha
0,15,91,122,54,29,0,49,kha
0,15,92,122,45,29,0,47,kha
0,13,92,122,47,29,0,49,kha
0,13,92,123,47,30,0,51,kha
0,13,92,123,47,29,0,49,kha
0,13,92,123,47,29,0,47,kha
0,13,92,123,47,30,0,46,kha
0,15,92,124,47,30,0,46,kha
0,15,92,124,45,30,0,46,kha
0,13,91,124,45,30,0,46,kha
0,13,91,124,43,30,0,47,kha
0,13,91,124,48,30,0,49,kha
0,13,92,124,48,30,0,46,kha
0,13,91,124,48,30,0,46,kha
0,13,91,124,48,30,0,46,kha
0,13,92,124,45,30,0,47,kha
0,13,92,124,47,30,0,47,kha
0,12,92,123,47,30,0,47,kha
0,13,92,123,48,30,0,49,kha
0,13,92,123,48,32,0,51,kha
0,13,92,123,50,32,0,51,kha
0,12,92,123,50,32,0,51,kha
0,13,91,122,50,32,0,51,kha
0,13,91,122,50,32,0,51,kha
0,15,90,122,50,32,0,51,kha
0,15,90,122,48,32,0,51,kha
0,13,90,122,48,30,0,49,kha
0,15,90,122,48,32,0,51,kha
0,15,90,122,48,30,0,49,kha
0,15,91,122,48,30,0,47,kha
0,13,91,122,48,30,0,36,kha
0,15,91,122,47,30,0,36,kha
0,13,91,122,47,32,0,36,kha
0,12,91,122,47,30,0,36,kha
0,11,91,122,47,30,0,34,kha
0,11,91,122,50,30,0,36,kha
0,11,91,123,50,30,0,37,kha
